Title,Jurisdictions,Document type,Document file
Northcape Properties v. District Council of Yorke Peninsula,Australia>South Australia>Supreme Court of South Australia,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080304_2007-SAERDC-50-2008-SASC-57_decision.pdf
Nucifora v. Valuer-General,Australia>Queensland>Land Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130506_2013-QLC-19-Australia_decision-1.pdf
Owen v. Casey City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090925_2009-VCAT-1946_decision.pdf
Paul v. Goulburn Murray Water Corporation and Others,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20101103_2010-VCAT-1755_decision.pdf
Pepperwood Ridge Pty. Ltd. v. Newcastle City Council,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090211_2009-NSWLEC-1046_decision.pdf
Perry v. Hepburn Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070727_2007-154-LGERA-182-2007-VCAT-1309-_decision.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,petition,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2005/20051208_na_petition.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20061116_na_decision.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070115_na_na-1.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,reply,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070201_na_reply-1.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070301_na_na.pdf
Petition To The Inter-American Commission on Human Rights Seeking Relief From Violations Resulting from Global Warming Caused By Acts and Omissions of the United States,Inter-American System of Human Rights>Inter-American Commission on Human Rights,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070301_na_na-1.pdf
Phosphate Resources Ltd. v. The Commonwealth,Australia>Federal Court of Australia,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2004/20040311_2004-FCA-211_decision.pdf
Queensland Conservation Council Inc. v. Xstrata Coal,Australia>Queensland>Court of Appeal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20071012_2007-QCA-338_decision-1.pdf
Queensland Conservation Council Inc. v. Xstrata Coal,Australia>Queensland>Court of Appeal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20071012_2007-QCA-338_decision.pdf
Rainbow Shores P/L v. Gympie Regional Council and Others,Australia>Queensland>Planning and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130612_2013-QPEC-26_decision-1.pdf
Re Australian Conservation Foundation v. Latrobe City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2004/20041029_2004-VCAT-2029_decision.pdf
RES Southern Cross v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090211_2009-NSWLEC-1034-_decision.pdf
Rivers SOS Inc. v. Minister of Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091216_2009-NSWELC-213_decision.pdf
S J Connelly v. Byron Shire Council,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090309_2009-NSWLEC-1068-2009-NSWLEC-1242_decision.pdf
Smith v. Pittwater Council,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130521_2013-NSWLEC-1145_decision.pdf
Spencer v. Commonwealth,Australia>High Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100901_2008-FCA-1256-2009-FCAFC-38-2010-HCA-28_decision.pdf
Suburban Blue Print Pty. Ltd. v. Hobsons Bay City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100726_2010-VCAT-1272_decision-1.pdf
Taip v. East Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100728_2010-VCAT-1222_decision-1.pdf
Taralga Landscape Guardians Inc. v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070201_2007-161-LGERA-1_decision-1.pdf
Tauschke v. East Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091016_2009-VCAT-2177_decision-3.pdf
Terminals Pty. Ltd. v. Greater Geelong City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2005/20050922_2005-VCAT-1988_decision-1.pdf
Thornton v. Adelaide Hill Council,"Australia>South Australia>Environment, Resources, and Development Court",decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20060606_2006-151-LGERA-1_decision-1.pdf
W &amp; B Cabinets v. Casey City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090727_2009-VCAT-1453_decision-1.pdf
Wade v. Warrnambool CC and Anor,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091016_2009-VCAT-2177_decision-2.pdf
West Gippsland Catchment Management Authority v. East Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100804_2010-VCAT-1334_decision-1.pdf
Wildlife Preservation Society of Queensland Proserpine/Whitsundry Branch Inc. v. Minister for the Environment and Heritage,Australia>Federal Court of Australia,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20060616_2006-FCA-736_decision.pdf
Xstrata Coal Queensland Pty. Ltd. and Others v. Friends of the Earth - Brisbane and Others,Australia>Queensland>Land Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120327_2012-QLC-013_decision-1.pdf
"Your Water Your Say Inc. v. Minister for the Environment, Heritage and the Arts",Australia>Federal Court of Australia,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080516_2008-FCA-670_decision.pdf
Alanvale Pty. Ltd. v. Southern Rural Water Authority,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100421_2010-VCAT-480_decision.pdf
Cooke v. Greater Geelong City Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100120_2010-VCAT-60_decision-1.pdf
Ronchi v. Wellington Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090716_2009-VCAT-1206_decision-1.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,summons,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20141201_2660_summons.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,summons,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20141201_2660_summons-2.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190201_2660_na.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190201_2660_na-2.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190628_2660_na.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191216_2660_na.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191216_2660_na-2.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200316_2660_na.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,na,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200316_2660_na-2.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210617_2660_judgment.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210617_2660_judgment-2.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,petition,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211117_2660_petition.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,appeal,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211117_2660_appeal.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231130_2660_judgment.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231130_2660_judgment-1.pdf
VZW Klimaatzaak v. Kingdom of Belgium & Others,Belgium>Brussels>Court of First Instance,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231130_2660_judgment-2.pdf
Chicago Climate Exchange v. Bourse de Montreal,Canada>Trademarks Opposition Board,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140403_2014-CarswellNat-1045_decision.pdf
Citizens of Riverdale Hospital v. Bridgepoint Health Services,Canada>Ontario>Superior Court of Justice,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070626_2007-O.J.-No.-2527_decision.pdf
Clean Train Coalition Inc. v. Metrolinx,Canada>Ontario>Superior Court of Justice,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20121119_2667_decision.pdf
Friends of the Earth v. The Governor in Council and Others,Canada>Federal Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091015_2008-FC-1183-2009-FCA-297_decision.pdf
Friends of the Earth v. The Governor in Council and Others,Canada>Federal Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20081020_2008-FC-1183-2009-FCA-297_decision.pdf
In the Matter of FortisBC Energy Inc.: Amendment to Rate Schedule 16 on a Permanent Basis,Canada>British Columbia>Utilities Commission,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130604_2013-Carswell-BC-1671_decision.pdf
"In the Matter of subsection 17(40) of the Planning Act, R.S.O 1990, P.13 as amended",Canada>Ontario>Municipal Board,nan,nan
Pembina Institute for Appropriate Development and Others v. Attorney General of Canada and Imperial Oil,Canada>Federal Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080305_2008-FC-302_decision-1.pdf
In re FortisBC Energy Utilities: 2012-2013 Revenue Requirements and Rates,Canada>British Columbia>Utilities Commission,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120412_2012-Carswell-BC-1061_decision.pdf
In re River District Energy Limited Partnership,Canada>British Columbia>Utilities Commission,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111219_2011-Carswell-BC-3538_decision.pdf
Syncrude Canada Ltd. v. Attorney General of Canada,Canada>Federal Court of Appeal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160530_2016-FCA-160_decision.pdf
Weaver v. Corcoran and Others,Canada>British Columbia>Supreme Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120212_2015-BCSC-165_decision.pdf
Micronesia Transboundary EIA Request,Czech Republic,petition,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091203_2686_petition.pdf
Afton Chemical Limited v. Secretary of State for Transport,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100506_2010-Case-C-34309_judgment.pdf
Neuzelle Agricultural Cooperative v. Head of Administrative Services of Oder-Spree rural district authority,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130314_2013-EU-ECJ-C-54511_judgment-1.pdf
Air Transport Association of America v. Secretary of State for Energy and Climate Change,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111006_2011-No.-C-36610_judgment.pdf
Air Transport Association of America v. Secretary of State for Energy and Climate Change,European Union>European Court of Justice,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111006_2011-No.-C-36610_opinion.pdf
Ålands Vindkraft AB v. Swedish Energy Agency,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140701_2014-Case-C-57312_judgment-1.pdf
Arcelor SA v. Parliament and Council,European Union>General Court (known as Court of First Instance before 2010),judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100310_2010-Case-T-1604_judgment.pdf
Azienda Agro-Zootecnica Franchini Sarl v. Regione Puglia,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20110721_2011-Case-C-210_judgment.pdf
Billerud Karlsborg AB v. Swedish Environmental Protection Agency,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131017_2013-Case-C-20312_judgment.pdf
"Borealis Polyolefine GmbH v. Minister for Land, Forestry, Environment, and Water Management",European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160428_2016-C-191-14_judgment.pdf
BOT Elektrownia Bełchatów S.A. and Others v. Commission of the European Communities,European Union>European Court of Justice,order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20081020_Case-T-20807_order.pdf
Germany v. Nordzucker AG,European Union>European Court of Justice,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150205_2015-C-14814_opinion.pdf
Germany v. Nordzucker AG,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150429_2015-C-14814_judgment.pdf
Buzzi Unicem SpA v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20151015_2008-Case-T-24107_opinion.pdf
"Cementownia ""Odra"" S.A. v. Commission of the European Communities",European Union>General Court (known as Court of First Instance before 2010),judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20081122_Case-T-19807_judgment-1.pdf
"Cementownia ""Odra"" S.A. v. Commission of the European Communities",European Union>General Court (known as Court of First Instance before 2010),nan,nan
Cemex Polska sp. z o.o. v Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),nan,nan
Commission of the European Communities v. Finland,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2005/20050303_2006-C-10705_judgment.pdf
Commission of the European Communities v. Italian Republic,European Union>European Court of Justice,nan,nan
Drax Power and others v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070625_2007-Case-T-13006_judgment.pdf
Dyckerhoff Polska sp. z o.o. v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),nan,nan
EnBW Energie Baden-Württemberg AG  v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070430_Case-T-38704_order-1.pdf
European Commission v. Council for the European Union,European Union>European Court of Justice,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150317_2015-C-42513_opinion.pdf
European Commission v. Republic of Latvia,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131003_2013-C-26711_judgment.pdf
Federal Republic of Germany v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20071107_2007-Case-T-37404_judgment.pdf
Fels-Werke GmbH v. Commission of the European Communities,European Union>General Court (known as Court of First Instance before 2010),order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070911_2007-Case-T-2807_order.pdf
Flachglas Torgau GmbH v. Federal Republic of Germany,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120214_2012-2-CMLR-17-Grand-Chamber_judgment.pdf
Green Network SpA v. Italian Electric &amp; Gas Authority,European Union>European Court of Justice,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20141115_2014-C-6613_judgment.pdf
